File Name,Summary
java.lang.model.yml,"['java.lang', 'ThreadLocal', True, 'set', '(Object)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.ThreadLocal.value]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'ThreadLocal', False, 'withInitial', '(Supplier)', '', 'Argument[0].ReturnValue', 'ReturnValue.SyntheticField[java.lang.ThreadLocal.value]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', False, 'Throwable', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', False, 'Throwable', '(String,Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', False, 'Throwable', '(String,Throwable)', '', 'Argument[1]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', False, 'Throwable', '(Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', False, 'Throwable', '(Throwable)', '', 'Argument[0].SyntheticField[java.lang.Throwable.message]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'taint', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'getCause', '()', '', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'getMessage', '()', '', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'getLocalizedMessage', '()', '', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'initCause', '(Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'initCause', '(Throwable)', '', 'Argument[0]', 'ReturnValue.SyntheticField[java.lang.Throwable.cause]', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'initCause', '(Throwable)', '', 'Argument[this]', 'ReturnValue', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Throwable', True, 'toString', '()', '', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'UnsupportedOperationException', False, 'UnsupportedOperationException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'fromJson', '', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(JsonElement)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(JsonElement,JsonWriter)', '', 'Argument[0]', 'Argument[1]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(JsonElement,Appendable)', '', 'Argument[0]', 'Argument[1]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(Object)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(Object,Appendable)', '', 'Argument[0]', 'Argument[1]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(Object,Type)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(Object,Type,Appendable)', '', 'Argument[0]', 'Argument[2]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJson', '(Object,Type,JsonWriter)', '', 'Argument[0]', 'Argument[2]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJsonTree', '(Object)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toJsonTree', '(Object,Type)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'toString', '()', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'newJsonReader', '', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'Gson', False, 'newJsonWriter', '', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson.stream', 'JsonReader', False, 'nextName', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson.stream', 'JsonReader', False, 'nextString', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson.stream', 'JsonReader', False, 'JsonReader', '(Reader)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson.stream', 'JsonWriter', False, 'JsonWriter', '(Writer)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsByte', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsCharacter', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsJsonArray', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsJsonObject', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsJsonPrimitive', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'getAsString', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonElement', True, 'toString', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'add', '(Boolean)', '', 'Argument[0]', 'Argument[this].Element', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'add', '(Character)', '', 'Argument[0]', 'Argument[this].Element', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'add', '(JsonElement)', '', 'Argument[0]', 'Argument[this].Element', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'add', '(Number)', '', 'Argument[0]', 'Argument[this].Element', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'add', '(String)', '', 'Argument[0]', 'Argument[this].Element', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'addAll', '(JsonArray)', '', 'Argument[0].Element', 'Argument[this].Element', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'asList', '', '', 'Argument[this].Element', 'ReturnValue.Element', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'get', '', '', 'Argument[this].Element', 'ReturnValue', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonArray', True, 'set', '', '', 'Argument[1]', 'Argument[this].Element', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'add', '', '', 'Argument[0]', 'Argument[this].MapKey', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'add', '', '', 'Argument[1]', 'Argument[this].MapValue', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'addProperty', '(String,String)', '', 'Argument[0]', 'Argument[this].MapKey', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'addProperty', '(String,String)', '', 'Argument[1]', 'Argument[this].MapValue', 'taint', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'asMap', '', '', 'Argument[this].MapKey', 'ReturnValue.MapKey', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'asMap', '', '', 'Argument[this].MapValue', 'ReturnValue.MapValue', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'entrySet', '', '', 'Argument[this].MapKey', 'ReturnValue.Element.MapKey', 'value', 'manual']"
com.google.gson.model.yml,"['com.google.gson', 'JsonObject', True, 'entrySet', '', '', 'Argument[this].MapValue', 'ReturnValue.Element.MapValue', 'value', 'manual']"
